Project ID,Class,Requirement
1,IntrusionD,'The system shall detect SQL Injection and XSS vulnerabilities for a given website or a web application''
1,Functionality,'The system shall analyze the detected vulnerability '
1,Functionality,'The system shall identify acceptable low false positive rates '
1,Functionality,'The system shall inspect SSL certificate '
1,Functionality,'The system shall generate a report of the detected and analyzed vulnerabilities'
1,Usability,'The system shall have a friendly user interface for ease-of-use purposes and for a better user experience '
1,Usability,'The system shall have a friendly interface design to enhance user�s experience '
1,Functionality,'The system shall allow parameter inputs to be supplied using different user-friendly input components that are based on Graphical User Interface (GUI) concepts '
1,Functionality,'The system reports shall be delivered in industry-standard format '
1,Functionality,'The system shall be able to carefully diagnose the real vulnerabilities when they exist based on conducting formula-based experiments. '
2,IntrusionD,'The system shall detect SQL Injection and XSS vulnerabilities for a given website or a web application '
2,Functionality,'The system shall analyze the detected vulnerability '
2,Performance,'The system shall identify acceptable low false positive rates '
2,Functionality,'The system shall inspect SSL certificate '
2,Functionality,'The system shall generate a report of the detected and analyzed vulnerabilities '
2,Usability,'The system shall have a friendly user interface for ease-of-use purposes and for a better user experience '
2,Usability,'The system shall have a friendly interface design to enhance user�s experience '
2,Functionality,'The system shall allow parameter inputs to be supplied using different user-friendly input components that are based on Graphical User Interface (GUI) concepts '
2,Functionality,'The system reports shall be delivered in industry-standard format '
2,Functionality,'The system shall be able to carefully diagnose the real vulnerabilities when they exist based on conducting formula-based experiments. '
3,Functionality,"'The system shall allow cloud user to register and create an account. In the registration process, the system shall capture user details such as user name, id number, email address, mobile number, etc. '"
3,Functionality,"'Upon registration, the system must generate a shared encryption key. '"
3,Confidentiality,'The system shall allow the user to generate their ECC public and private keys. These keys are to be used for the encryption of the AES encryption key and also for PDP. '
3,Functionality,'The system shall allow the user to upload and download stored files. '
3,Functionality,'The system shall provide a platform that allows the user to upload files for storage and also to retrieve the files by downloading them when required.'
3,Confidentiality,'The system shall allow secure uploaded files using AES algorithm with a 256-bit key. '
3,Confidentiality,'The system shall automatically encrypt the files that will be uploaded by the user for storage using a 256-bit encryption key. '
