,Requirement
0,The system shall detect SQL Injection and XSS vulnerabilities for a given website or a web application
1,The system shall analyze the detected vulnerability 
2,The system shall identify acceptable low false positive rates 
3,The system shall inspect SSL certificate 
4,The system shall generate a report of the detected and analyzed vulnerabilities
5,The system shall have a friendly user interface for ease-of-use purposes and for a better user experience 
6,The system shall have a friendly interface design to enhance user�s experience 
7,The system shall allow parameter inputs to be supplied using different user-friendly input components that are based on Graphical User Interface (GUI) concepts 
8,The system reports shall be delivered in industry-standard format 
9,The system shall be able to carefully diagnose the real vulnerabilities when they exist based on conducting formula-based experiments. 
10,The system shall detect SQL Injection and XSS vulnerabilities for a given website or a web application 
11,The system shall analyze the detected vulnerability 
12,The system shall identify acceptable low false positive rates 
13,The system shall inspect SSL certificate 
14,The system shall generate a report of the detected and analyzed vulnerabilities 
15,The system shall have a friendly user interface for ease-of-use purposes and for a better user experience 
16,The system shall have a friendly interface design to enhance user�s experience 
17,The system shall allow parameter inputs to be supplied using different user-friendly input components that are based on Graphical User Interface (GUI) concepts 
18,The system reports shall be delivered in industry-standard format 
19,The system shall be able to carefully diagnose the real vulnerabilities when they exist based on conducting formula-based experiments. 
20,"The system shall allow cloud user to register and create an account. In the registration process, the system shall capture user details such as user name, id number, email address, mobile number, etc. "
21,"Upon registration, the system must generate a shared encryption key. "
22,The system shall allow the user to generate their ECC public and private keys. These keys are to be used for the encryption of the AES encryption key and also for PDP. 
23,The system shall allow the user to upload and download stored files. 
24,The system shall provide a platform that allows the user to upload files for storage and also to retrieve the files by downloading them when required.
25,The system shall allow secure uploaded files using AES algorithm with a 256-bit key. 
26,The system shall automatically encrypt the files that will be uploaded by the user for storage using a 256-bit encryption key. 
27,Allow the user to check the integrity of stored data through the PDP functionality. 
28,"The system shall be easy to maintain as it can easily be integrated with other systems, modified or reused on other different platforms, "
29,The system shall be web based and therefore guarantees maximum availability of data to the cloud data owners
30,The system shall have clearly defined links and buttons that show the various functionalities that the user may require
31,The system shall allow multiple clients to login and save their files to the remote server
32,The System shall be a simple to use and attractive website with a clear presentation of elements. 
33,It must be user friendly and make it easy for the users to navigate through the web materials. 
34,It must be responsive. The application must not keep the data owners waiting for long time while waiting for it to process their requests and respond. 
35,It must also be interactive and provides help information to help the clients and give them guidance on how to use the system. 
36,It must be portable in such a way that it can be usable on different devices with different screen sizes without difficulties. 
37,"The system shall be used to detect the presence of malware in an Android application, identify possible malware families and classify them accordingly into their families.  "
38,The system shall generate a report outlining what effect the malware has done during execution in an isolated environment. 
39,The system shall show a report containing detailed results found in files submitted for analysis and will clearly indicate which file is malicious and which one is benign. 
40,The system shall focus on known and unknown malware families with the aim of unearthing newly developed malware which are potentially harmful to the Android applications. 
41,"The application will be available as a standalone application which will be installed on users� virtual machines and thus will not be affected by network availability, "
42,The system shall be abstracted from the user and the application has no user interaction hence the chances of users breaking it are very limited
43,"The system shall be designed in such a way that the final product will be user-friendly and very efficient, "
44,"The system shall be easily transferred to and installed on another platform, "
45,"The system shall apply a number of methods, such as regular maintenance, to facilitate reliability assurance of the system, "
46,The system shall be capable of producing accurate results through reduced margin of false negatives and false positives
47,The system shall allow a member to spontaneously form a group of n signers using group public keys which associate the group members. 
48,The system shall allow a user to sign a document on behalf of the group using his secret key 
49,The system shall allow a whistle-blower to send the message digest (message m + signature ?) using his mobile phone to Zimbabwe Anti-Corruption Commission. 
50,The Zimbabwe Anti-Corruption Commission then verifies the signature using the group public key so that it will be convinced that it actually came from the organisation without the knowledge of the actual signer
51,"The SAG system shall perform well in the web environments, "
52,The system shall adapt to all types of application. 
53,The system shall be user friendly. 
54,"The system shall be easy to transfer to another environment, including install ability"
55,The system shall create an environment for embedding and extracting the watermark from an image. 
56,The system shall also provide a section for verification in the sense that if an image is said to have a watermark it should be able to detect and display the watermark. 
57,The system shall allow an author who desires to protect his/her work from unauthorized use to upload an image with his/her visible digital watermark along with the registration number 
58,The system shall allow the administrator to embed the invisible digital watermark whenever an author submits his /her piece of art 
59,The system shall allow verification of watermarked image which is submitted twice or more by different authors to protect the owner�s copyrights 
60,The system shall apply the principle of authentication by notifying if there is a watermark on the image or not 
61,The digital watermark system is compatible with all the operating systems
62,The system shall be able to take face pictures of a suspect
63,The system shall be able to save taken pictures into the database
64,The system shall optionally allow the user to destroy the suspect�s details files or save them for future records in a secure database 
65,The system shall be able to match current picture with database pictures
66,The system shall be able to retrieve criminal records from the database based on pictures taken 
67,The system shall utilize a centralized database 
68,"The speed of searching, comparing and matching the pictures in the database is determined by the algorithm used "
69,"The system shall have independent classes for databases so they can be maintained, tested and system improvements can be done easily "
70,The system shall be able to listen for any port scan on university WIFI network.
71,The system shall be able to block internet connection to the computer doing port scanning.
72,The system shall be able to push warning script to the rogue node.
73,The system shall be able to check netstat and recent network connections to see if rogue node is a victim of pivoting and if so trace the attacking machine. 
74,The system shall be able to Recover unique identifiers of the node which was used to generate the node s unique ID/fingerprint upon registration when the owner entered/joined the university with it 
75,The system shall be able to note hostname of rogue node as well as the SSID of the network it is connected to so as to know from which section on campus is the attack being done. 
76,The system shall be able to check with students laptop and university PC register and search for device matching the rogue node and corresponding student and student personal details. 
77,The system shall be able to display message on rogue note screen warning the student by name that port scanning is not allowed and this is automatically added to the student s record if such an offence is repeated more than once. 
78,The system shall be able to generate monthly reports which can be viewed by network admin when necessary. 
79,"The software is relatively fast to most GUI soft wares, this is because it will contain some low-level code running in the background "
80,The system shall allow background processes to monitor for any scan and relay information to the registry about any unusual activities 
81,The system shall allow 2 seconds to fetch student details from the database
82,"The system shall look at port scanning only on the host it will be deployed on, this will devote all the listen to one part of the many policies in a computer"
83,The system shall be updated with patches and newer versions when required
84,The system shall need some adjustments for it to work on Linux platform but it shall be installable on windows without any other adjustments needed
85,The system shall be delivered with a user manual and once installed the software is easy to run
86, The system shall allow the administrator to log in and set the software to run and give desired alerts from PCs scanning the server
87,The system shall be able to detect an approaching figure. 
88,The system shall be able to input digits and display the punched digits. 
89,The system shall be able to authenticate pin entered. 
90,The system shall be able to open the door when the pin is correct 
91,The system shall allow the buzzer to ring if 3 consecutive wrong attempts are made. 
92,The system shall allow GSM to send an SMS alert message when 3 consecutive wrong attempts are entered
93,The system shall allow a short time to respond to a command to encrypt and decrypt data.
94,The system shall allow high throughput � high rate of processing the work and the services of the user.
95,The system shall allow high availability of the application whenever the user needs it so a recovery module will be set in case of loss of the mobile phone. 
96,The system shall allow short data transmission between the computer and the smart phone over Bluetooth.
97,The system shall allow the Bluetooth data lock systems to produce the same repeated results
98,"The system shall allow that if the mobile phone is not present, some authentications are done by the user to obtain access to the system"
99,The system will be able to execute properly on any windows platform 
100,The system shall employ encryption technics at the database side and use HTTPS when accessing networked resources over the internet
101,The system shall be portable as long as there is internet connectivity
102,The system shall send child SMS to parent device 
103,The system shall forward child SMS/MMS to an email account 
104,The system shall send phone call notifications of child device as SMS 
105,The system shall forward phone call notifications of child device to an email account
106,The system shall be able to request for phone location by a SMS of parent device 
107,The system shall be able to record phone call in audio file forwarded with notification if parent asked for those (forward by email only) 
108,The system shall be able to send phone location with a time period 
109,The system shall be able to forward pictures 
110,The system shall be able to send a random screen shot of videos played in phone (forward by email only)
111,The system shall be able to remotely start/stop mic record with keyword in SMS and forward the audio file by email 
112,The system shall be able to access contacts list in child device 
113,The system shall be able to disable/Enable applications list with keyword in SMS 
114,The system shall be able to keep reminders about a child 
115,The system shall be able to filter harmful websites against URLs� of known harmful websites. Access to known harmful websites shall not be permitted.
116,"The system-+ shall be able to collect and analyse data that the child is typing and if it captures certain keywords or a continuous sequence of expletives, it should send an alert through text to the parent�s smartphone. "
117,The system shall prevent any applications from being installed or uninstalled 
118,The system shall be able to generate and send periodic logs the parent�s smartphone 
119,The system shall be up and running all the time since its checking or monitoring the child�s behavior and prevent any media from being sent or received using Bluetooth 
120,The system shall allow a user who has a functional account with the Twitter platform to create an application to access tokens. 
121,The system shall be able to connect to Twitter Streaming API. 
122,The system shall be able to extract raw data from Twitter in real time. 
123,The system shall be able to pre-process the unstructured data into meaning information and match with existing keywords in database. 
124,The system shall be able to apply a classification algorithm for classification of the processed tweets matching with the labeled tweets in the tweet corpus. 
125,The system shall be used on any device that meets the specified hardware and software requirements
126,The system will be used by government officials to bring relevant information to the user unlike the normal web search where web information retrieval is difficult as hundreds of irrelevant documents are returned in response to a search query. 
127,The system shall sync with a major international Bitcoin exchange for real time exchange prices. 
128,The system shall provide currency calculator for Bitcoin conversion to USD. 
129,The system shall provide an escrow (PayNow linked to Zimbabwean commercial banks and mobile money platforms) that locks USD until confirmation from seller. 
130,The system shall provide web of trust reputation statistics 
131,The system shall capture and store all transactions.
132,The system shall manage user profiles. 
133,The system shall enable Bitcoin transaction processing 
134,The system shall be able to sync with other exchange platforms for exchange prices. 
135,The system shall ensure that interaction between user and application has a minimum lag time 
136,The system shall allow for a safe fail whenever there is a fault. 
137,"The system shall provide maturity, fault tolerance and recoverability in the face of a fault. "
138, The system shall comply with the anti-money laundering guidelines of Zimbabwe. 
139,The system shall be easy to use and user friendly. 
140,New exchange interfaces should be easily integrated into the already existing system without modifying core functionality of the product software. 
141,The system shall allow a member to spontaneously form a group of n signers using group public keys which associate the group members. 
142,The system shall allow a user to sign a document on behalf of the group using his secret key 
143,The system shall allow a whistle-blower to send the message digest (message m + signature ?) using his mobile phone to Zimbabwe Anti-Corruption Commission. 
144,The system shall allow the Zimbabwe Anti-Corruption Commission to verify the signature using the group public key so that it will be convinced that it actually came from the organisation without the knowledge of the actual signer 
145,The system shall be able to perform well in the web environments. 
146,The system shall adapt to all types of application. 
147,"The system shall provide maturity, fault tolerance and recoverability despite the challenges of balancing development time. "
148,The system shall be easy to use and user friendly. 
149,The system shall ensure good performance and resource behaviour by measuring the static quality attributes of the application to predict potential operational performance bottlenecks and future scalability problems. 
150,"The system shall ensure easy maintainability by enforcing best practices in documentation, applying complexity avoidance strategy, and following basic programming practices.  "
151,The system shall be easily transferred to another environment with install ability. 
152,The system shall monitor motion through cameras.  
153,The system shall retain video logs that only have motion.  
154,The system shall report motion and alert the responsible parties after analyzing the conditions without the aid of external motion detection sensors. 
155,The system shall have a moderate to high performance owing to limited resource use by using programmer initiated garbage collection for cases where the compiler might produce inefficient code. 
156,The system shall only use multithreading sparingly in order to increase performance system without slowing down lower end hardware. 
157,The system shall be user friendly with a very small learning curve. 
158,The system�s intuitive design of the interface will make operating the software easy and quick. 
159,The system shall provide a detailed manual of use in case the learning curve proves too steep for some users. 
160,The system shall be deployable across any system with the correct version of python and its corresponding dependent nonstandard libraries. But easier if packaged using Fladesk 
161,The system shall be maintainable by enforcing modularity which makes the system components loosely coupled such that they can be modified independently and then reintegrated into the system. 
162,The system shall maintain a strict documentation including comments in the source code so as to make the code easy to modify and debugging.  
163,"The system shall allow Network traffic monitoring in real-time by capturing incoming and outgoing TCP, HTTP(S) and TLS web traffic, in order to correlate it with configured cryptojacking blacklist. "
164,"The system shall analyse TCP, HTTP(S) and TLS web traffic, to detect network connections to known cryptocurrency mining pools or service providers such as BTC.com and coinhive.com "
165,"The system shall create a snapshot of the user�s usual average CPU utilization percentage, in order to subsequently be used as a basis for comparison, enabling the detection of the tremendous CPU load increase caused by cryptojacking."
166,"The system shall monitor CPU usage to detect spikes in CPU usage caused by cryptojacking by constantly reading the computer�s current CPU utilization percentage and compare it to the CPU usage baseline, and detect the extreme spikes or deviations from the usual CPU usage baseline due to cryptojacking activity. "
167,The system shall produce a pop-up notification reporting the detected cryptojacking activity. 
168,The system shall automatically send email alerts of detected cryptojacking activity.  
169,"The system shall allow the user to set an email-change password, so that it will subsequently be requested when attempting to change the set user�s email address.  "
170,The system shall allow the cryptojacking application to be terminated unless the user explicitly selects to ignore the cryptojacking application. 
171,"The system shall enable the detected cryptojacking domain or application to be logged, along with the date and time of detection. "
172,"The system should be able to detect cryptojacking quickly, in a timely-manner. "
173,The system should not consume significantly high CPU resources. 
174,The system should perform with minimal CPU overhead. 
175,"The system should be easy to use, even by general users, with a user-friendly interface.  "
176,It should be easy to learn and understand how to effectively use the system 
177,The system should be reliable in detecting known cryptojacking malware activity. 
178,The system should be compatible with computer systems running the Microsoft Windows operating system 
179,"The system should preserve the user�s privacy by not publishing the monitored network traffic, and not exposing the user�s registered email address."
180,The system should ensure only the authorized user is able to change the registered email address for receiving cryptojacking alerts. 
181, The system should offer password strength measuring capability to suggest password security improvements to the user. 
182,The system should not violate laws by not infringing the privacy of sensitive user information and intellectual property rights. 
183,The system shall use a two-way authentication system by combining keyboard activities and mouse movement biometrics to improve security.
184,The system shall capture user�s keyboard typing pattern and mouse movement pattern during registration. 
185,The system shall enable unique features to be extracted using datasets. 
186,The system shall learn the user�s unique pattern using Na�ve Bayes algorithms and store the template in the database. 
187,The system shall allow that the features be extracted when the user logs in and a similarity match done to check the authenticity of the user and if a match is successful the user will be granted access and access will be denied in the event of a mismatch. 
188,"The system shall allow that the performance of the application in terms of throughput, response time be checked at different intervals after deployment by the customer support team.  "
189,The system shall allow for operation at all times.  
190,The system shall be put under several tests such as stress testing such that there will be no errors in verifying the user. 
191,The system shall ensure that the downtime of internet will not affect its availability as any user can still be granted or denied access to the system. 
192,The system shall circumvent the electricity power cuts challenges by the use of UPS (uninterrupted power supply). 
193,The system shall be able to distinguish the legitimate user from an illegitimate one by the use of unique behavioral biometrics 
194,The system shall ensure that confidential information can only be accessed to the right individuals. 
195,"The system shall be easy to maintain since the application has a clear separation of its database and logic code from the system in which it will be applied to, therefore it will be easy to sandbox the proposed system and maintain it without affecting the whole system. "
196,The system shall be maintained through frequent updates.  
197,"The system shall be built to be compatible with many operating systems such as windows, android and linux. "
198,The system shall perform verification to determine user and access rights. 
199,The system shall keep logs for every operation made by the user for audit trailing commitments.
200,The system shall give an update of balance left after every toll deduction by SMS reporting 
201,The system shall allow adding of a new user and updating current ones. 
202,The system shall be able to show all the business units that are registered afore user make a selection 
203,The system shall be able to create reports from activity in the system. 
204,The system shall allow for the tolling sms to be sent with a latency of not more than an hour from such an action.
205,The system shall allow a user to access data or resources in an indicated location and in the right format at all times. 
206,"The system shall have a modular design catering for corrective, perfective, adaptive and preventive maintenance. "
207,The system shall be portable and easy to relocate from one computer environment to another. 
208,The system shall allow entering the name of the individual whose details and PII are to be searched. 
209,The system shall allow the web application access to the social sites public profiles  
210,The system shall allow Selenium scraping an individual�s personally identifiable information. 
211,The system shall allow extraction of the personally identifiable information. 
212,The system shall display the personally identifiable information on a graphical user interface. 
213,"The system shall be designed to have a short response time to opening the web application, requesting user details and uploading the personally identifiable information onto a profile.  "
214,"The system shall have a high rate of processing of the work and the services of the user. This means if a person�s details are requested, the request should be processed and results displayed without much delay.  "
215,"The system shall provide access whenever the user needs to check publicly available records of an individual, they should be able to do so since social media details are always available "
216,The system shall offer a short time for data transmission between social network site and Selenium. 
217,The system shall have a high usability through an easy to use GUI in which a user will only enter a search query since Selenium will be communicating with the social media site. 
218,The system shall have a small learning curve for users to get accustomed to the application. 
219,The system shall make it easy to trace an individual�s activities after a crime has taken place.
220,"The system shall access personally, identifiable information to allow investigators to be able to reconstruct a criminal event after it happens, thereby securing the evidence. "
221,The system shall access a profile from which the PII is scraped and displayed on the graphical user interface. 
222,The system should be able to generate USSD codes for the transaction. 
223,The system should be able to send the messages to the target number. 
224,The system should be able to secure the messages by encrypting them. 
225,The system should keep history of the transactions in a secure database. 
226,The system should restrict password attempts to three only. 
227,The system should comply with laws governing the technology to be used
228,The system should be able to terminate transaction after ninety seconds of no response.
229,The system should be able to carry out authentication of the user through user name and password 
230,The system shall allow a user to have a functional account on the enterprise application 
231,A classification algorithm should be applied to determine the probability of a claim being fraudulent
232,The system should flag a claim whose score exceeds the threshold 
233,The system shall be accessible to users via HTTPS web portal 
234,System should allow users to download reports. 
235,The system shall be able to function as desired all the time.  
236,The proposed system� logistics are easily accessed hence its availability is guaranteed when and as required. 
237,The information entered is only altered by the user upon authentication being done to verify. 
238,The manner in which the system functions should be easy and direct for the users of the system. 
239,The system should have a very fast response time to user�s actions.
240,Permissions to access the system data should only be altered by the system�s data administrator.
241,The system should time out after a set period of inactivity
